,問題,解答,メモ,
1,創業,"1905/10/19
今年で120周年を迎える",,
2,売上高　,"個別：１兆5653億円
連結：２兆830億円",※2024年度3月期,
3,経常利益　,"個別：801億円
連結：2265億円",※2024年度3月期,
4,当期純利益　,"個別：684億円
連結：1326億円",※2024年度3月期,
5,従業員数,"個別：1137人
連結：21159人",,
6,ガス供給件数,5048千件,,
7,特許保有件数,2751件,2024年度3月期末,
8,ガス道管総延長,"約63800km
地球約1周半
大阪、京都、兵庫、奈良、若山、滋賀、岡山、三重",2024年度3月末,
9,"お客さまアカウント数
内、低圧電気供給件数
内、ガス供給件数","約1038万件
約183万件
約504万件","※総数は都市ガス、電力、LPG、エネファーム、住ミカタ・サービス、ユーティリティエージェント契約等の延べ契約件数
※2022年4月から都市ガスの供給事業は大阪ガスネットワーク（株）が実施しています",
10,"持分電源容量（運転中）
内、再生可能エネルギー","約458.0万kw
約77.7万kw",2024年度3月末,https://www.daigasgroup.com/about/numbers/?_gl=1*jxh0g6*_ga*OTk5ODkzOTQyLjE3NDQ1MTk4NTc.*_ga_BTTD01TRNB*MTc0NjA5NDM2OS41LjEuMTc0NjA5NDQzMi42MC4wLjA.
11,主な事業内容,"国内エネルギー
海外エネルギー
ライフ&ビジネスソリューション（LBS）",,
12,Daigasグループのコミュニケーションワードは？,ぐっとそばで、ぐぐっとミライ。,,
13,Daigasグループのコンセプトは？,革新を、誠実に,,
14,Daigasグループの３つのマインドは？,"進取の気性
お客さま起点
誠心誠意・使命感",コンセプトはマインドを言い換えたもの,
15,"ロゴの中にある３色の三角形は？








",Dynamic Traiangle,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
