,問題,解答,メモ,,,,,,,,,,,,,,,,,,,,,
1,"2023年度実績
・重大事故件数［1］の継続
・耐震化率　約［2］％
・地震対策ブロック数［3］ブロック","1.ゼロ
2.89
3.727",重点戦略_ミライ価値の創造,,,,,,,,,,,,,,,,,,,,,
2,"エネルギーサプライチェーンにおけるレジリエンス向上の取り組み
・［1］の多様化
：調達リスクの軽減
・［2］の地震対策
：万一LNGが漏れ出しても外部に流出しないように［3］を設置
・二次災害対策
：地震対策ブロック→2030年想定…［4］ブロック
・ガス漏れ通報受付
・二次災害対策
：震度［5］相当以上の揺れを感知すると自動的にガス遮断（スマートメーター取り付けを［6］年度完了予定）","1.LNG調達先
2.ガス製造所
3.防波堤
4.740
5.5
6.2033","お客さまと社会レジリエンス向上
中期経営計画での強化取り組み
：従来の取り組みに加え、AI等のデジタル技術を活用した保安・安全供給の高度化やエネルギーマネジメント技術の開発による系統安定化への貢献を推進",,,,,,,,,,,,,,,,,,,,,
3,"AI等のデジタル技術を活用した保安・安全供給の高度化
：ガス漏えい検査における業務効率化、省人化の実現
電力系統の需要バランス安定化に貢献
：「エネファーム」によるバーチャルパワープラント（VPP）構築",,,,,,,,,,,,,,,,,,,,,,,
4,"大阪ガスネットワーク
：都市ガスの地震対策の取り組み
◯予防対策（地震に強い設備）
・お客さまに都市ガスが届くまで
：［1］...十分な強度と粘り強さのある鋼管を使用し、定期的な点検により、異常のないことを確認
：［2］...大地震にも十分耐えられるよう、球体部分は強度の高い高張力鋼を使用し、また基礎部分は強固な支持地盤まで杭を打ち込んで建設
：［3］...［3］は柔軟性に富むため、地震の揺れにも耐え、阪神大震災や大阪北部地震でもその耐震性の高さが実証されている。また、地中でも錆びることがなく、腐らないのも特徴。
◯お客さま宅にて
：［4］...ガスメーターに組み込んだコンピュータにより、大きな地震（震度5相当以上）やガスの流量の大きな変動等を感知すると自動的にガスを止める。
：［5］...屋内でも、柔軟性に富んだ［5］を使用しています。","1.高圧幹線
2.ガスホルダー
3.ポリエチレン管
4.マイコンメーター
5.ガスフレキシブル管",https://network.osakagas.co.jp/citygas/disaster-measures/prevention.html,,,,,,,,,,,,,,,,,,,,,
,"大阪ガスネットワーク
：都市ガスの地震対策の取り組み
◯緊急対策（二次災害の防止）
・緊急停止システムの構築
：供給エリア内に約［1］の地震計を配置、ガス供給設備へ感震自動遮断装置や遠隔遮断装置などの設置を行っている
◯地震対策ブロックの形成
：中圧・低圧道管ネットワークを複数の［2］に区分し、ブロック単位で被害の大きさを判定することで、停止の提供を最小限にしながら、安全にガスの供給停止を行うことが可能
：1995年阪神淡路大震災当時［3］ブロック→2023年実績［4］ブロック","1.3300
2.地震対策ブロック
3.55
4.727",https://network.osakagas.co.jp/citygas/disaster-measures/emergency.html,,,,,,,,,,,,,,,,,,,,,
,"大阪ガスネットワーク
：都市ガスの地震対策の取り組み
◯復旧対策（早期の供給再開）
・復旧の流れ
１：ブロック単位でガス供給を停止
２：お客さま宅のメーターガス線を閉栓
３：供給停止ブロックを分割
４：ガス管を点検
５：ガス管を修理
６：ガバナーを再稼働
７：お客さま宅のガス管・排気筒などの点検、メーターガス栓の開栓
◯ガス供給停止状況/復旧状況のお知らせ
：供給停止区域の復旧進捗状況、復旧完了見込み日をホームページで閲覧できる復旧見える化システムを開発・導入
◯［1］による臨時供給
：災害拠点病院などの重要施設に対して、都市ガス供給が復旧するまでの間、代替エネルギーをお届けできるよう［1］を保有",移動式ガス発生設備,https://network.osakagas.co.jp/citygas/disaster-measures/restoration.html,,,,,,,,,,,,,,,,,,,,,
,"大阪ガスネットワーク
：都市ガスの地震対策の取り組み
◯津波対策（津波による二次災害の防止）
・津波防災システムの開発・導入
：津波情報の一元監視機能、供給停止判断の支援機能などをもつ津波防災システムを開発・導入
◯［1］の構築
：［1］は、気象庁発表情報などに基づき、津波被害の発生が予想されるブロックを津波到達前に遠隔操作により供給停止することで、二次災害防止と早期復旧を図ります。",沿岸防災ブロック,https://network.osakagas.co.jp/citygas/disaster-measures/tsunami.html,,,,,,,,,,,,,,,,,,,,,
5,"大阪ガスネットワーク
：都市ガスの安定供給の取り組み
◯都市ガスの安定供給と万全の保安システム
・輸送・供給をコントロール
：都市ガスの安定供給のために、日々の需要予測、輸送計画を行い、各製造所へガス送出の指令を行うとともに、主要な導管を流れるガスの流量・圧力、ガスホルダーのガス保有量等をリアルタイムに把握し、計画通りに輸送・供給が行われていることを確認します。",,https://network.osakagas.co.jp/citygas/stable-supply.html,,,,,,,,,,,,,,,,,,,,,
6,"阪神淡路大震災では、
主要な製造設備や高圧ガス道管に被害はなく、中圧ガス導管も軽微＝耐震が実証
低圧ガス導管は［］などに被害を受けた",古いネジ継手,,,,,,,,,,,,,,,,,,,,,,
7,"地震対策の４つの取り組み
１［］
：地震による被害を最小限に抑制する設備を形成

阪神大震災→現状(2019年4月)
PE管延長　約1200km→16400km
導管耐震化率　68%→87%（→2023年 89%）
マイコンメーター普及率　75%→99%（家庭用100%）",予防対策,,,,,,,,,,,,,,,,,,,,,,
8,"地震対策の４つの取り組み
２［］
：二次災害を防止とした都市ガス供給停止システムの構築

阪神大震災→現状(2019年4月)
地震計の設置　34箇所→約260箇所
道灌網のブロック化　55ブロック→170ブロック（→2023年 727）
ガバナー感震自動遮断装置　なし→3000箇所
ガバナー遠隔遮断装置　なし→3600箇所",緊急対策,,,,,,,,,,,,,,,,,,,,,,
9,"地震対策の４つの取り組み
３［］
：被災時に早期復旧するための資機材備蓄やシステム整備",復旧対策,,,,,,,,,,,,,,,,,,,,,,
10,"地震対策の４つの取り組み
４［］
：津波による二次災害を防止するためのシステム構築",津波対策,https://network.osakagas.co.jp/business/pdf/measures.pdf,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,大阪ガスが起こした都市ガス事故１,天六ガス爆発事故,"https://www.shippai.org/fkd/cf/CB0012037.html#:~:text=1970年4月8,3、図4参照）%E3%80%82",天六事故以外の記事がネットではほぼ出てこなかった,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,参考にWBT資料をつけています,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
