判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2025/1/9,大阪ガス,自己株式の取得状況に関するお知らせについて,2024年12月1日～12月31日までに取得した自己株式の株式総数は、[①]株、取得価格の総額は[②]円であった。,"①1,131,900
②3,666,308,093",プレス,こんな細かい数字まででんやろ,,,
,2,2025/1/15,大阪ガス,湖西線沿線の強風を高精度に予測するシステムの本導入について～ＪＲ西日本のデータサイエンスと大阪ガスの気象予測技術による共同開発～,[①]株式会社と大阪ガスは[②]線において、強風予測システムの本導入を2025年2月より開始。大阪ガスが行う高解像度の気象予測データを、[①]が開発したAIモデルで解析し、24時間先までの風速・風向きの予測結果を出力する。,"①JR西日本
②湖西",プレス,大阪ガスの強みである気象予測が生きている,,,
,3,2025/1/30,大阪ガス,2025年3月ガス料金の原料費調整について,大阪ガスは政府による[①]事業を踏まえ、2025年3月検針分の一般料金に適用する単位料金を示した。これにより3月の標準家庭の料金は[②]円になる。内、政府支援を踏まえた値引き額は[③]円,"①電気・ガス料金負担軽減支援
②6,205
（③-302）",プレス,大事そう。家庭の電力使用量の最も大きい時期である1月から3月の冬期の電気・ガス代を支援するもの,,,大阪ガス
,4,2025/1/31,その他,フィリピンで基幹業務システム（ERP）事業を展開するFasttrack Solutions Inc.グループの事業取得について,"オージス総研はOGIS-PH（OGIS Philippines,Inc.）を通じ、[①]のパッケージ商品の導入・運用支援を行う[②]グループより全事業を取得し、フィリピンおよび東南アジアにおける[①]事業を展開する。","①基幹業務システム（ERP）
②Fasttrack Solutions Inc.（FT）",プレス,国内市場では、アグニコンサルティング、アミックをグループに加え、ERP事業を拡大し、さらなるステップとして海外進出,,,Daigasエナジー
,5,,,,,,,,,,大阪ガスマーケティング
,6,,,,,,,,,,Daigasガスアンドパワーソリューション
,7,,,,,,,,,,大阪ガスネットワーク
,8,,,,,,,,,,その他
,9,,,,,,,,,,
,10,,,,,,,,,,
,11,,,,,,,,,,
,12,,,,,,,,,,
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
