判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/8/1,Daigasエナジー,山陽特殊製鋼株式会社における自営線を活用したPPAサービスの開始について,Daigasエナジーは、2024年7月12日から、山陽特殊製鋼株式会社に、自営線※を活用した「【①】」のサービス提供を開始しました。「【①】」とは、Daigasエナジーがお客さまの屋根等に【②】のスキーム等により太陽光発電システムを設置し、お客さまのCO2排出量削減を実現する太陽光発電サービスとなります。,"①D-Solar
②初期投資ゼロ",,,,,
,2,2024/8/6,大阪ガス,アラブ首長国連邦（UAE）アブダビ首長国ADNOC社との、液化天然ガス（LNG）売買に関する主要条件覚書の締結について," 大阪ガスは、ルワイスプロジェクトにおいて生産される液化天然ガス（LNG）の売買について、売主である【①】の国営石油会社【②】との主要条件覚書を締結いたしました。
   ルワイスプロジェクトは、アブダビのルワイス工業都市に新設されるLNG基地（最大生産能力約960万トン/年）で生産したLNGを、日本を含む諸外国に供給する予定です。
   本契約の契約期間は2020年代後半からの長期契約となっています。当社がアブダビから長期でLNGを調達するのは今回が初めてとなり、当社のLNG調達の安定性向上に大きく寄与するものです。","①UAEアブダビ首長国（アブダビ）
②ADNOC",,,,,
,3,2024/8/7,大阪ガス,自己株式の取得状況に関するお知らせについて,,,,,,,大阪ガス
,4,2024/8/7,大阪ガスネットワーク,株式会社きんぱいの株式の一部譲渡について,大阪ガスネットワーク株式会社と、JFEエンジニアリング株式会社は、大阪ガスネットワークの100％子会社である株式会社きんぱいの株式の【①】％を、JFEエンジニアリングに2024年10月1日付で譲渡することで合意しました。,①66.7,,,,,Daigasエナジー
,5,2024/8/16,大阪ガス,大阪府における一酸化炭素中毒事故について,"大阪ガス株式会社は、大阪府において7月6日に【①】が発生したことを受け、ガス事業法第171条に基づき、中部近畿産業保安監督部近畿支部に報告しました。事故の概要は以下の通りです。
・発生概要 ： 大阪府のラーメン店で、業務用レンジおよび業務用麺ゆで機（以下、ガス機器）を使用中の従業員1名が意識を失い、病院で治療を受け、①と診断されました。",①一酸化炭素中毒,,,,,大阪ガスマーケティング
,6,2024/8/19,大阪ガスマーケティング,"～住宅販売事業者さま向け新サービス～
新築戸建ての維持管理をサポート！住宅アフターサービス開始について",大阪ガスマーケティング株式会社は、住空間に関わる事業領域を拡大し、新築住宅を販売する事業さま向けに、【①】住宅を対象とした新サービス「【②】」を開始。,"①新築戸建て
②住まいの安心サポート",,,,,Daigasガスアンドパワーソリューション
,7,2024/8/19,その他,最新のイベントや店舗情報をお届けする「OSAMPOアプリ」のサービスを開始,,,,,,,大阪ガスネットワーク
,8,2024/8/21,大阪ガス,豪州におけるe-メタンの製造・輸出に向けた詳細検討（Pre-FEED）を開始,"　大阪ガスの子会社であるOsaka Gas Australia Pty Ltd（OGA）は、このたび、豪州のエネルギー企業Santos Ltd（サントス社）の子会社であるSantos Ventures Pty Ltd、東京ガス株式会社、東邦ガス株式会社の4社で、サントス社が数十年にわたる上流ガス田の開発・操業により知見を有する【①】中東部のクーパーベイスンのムーンバにおけるe-methaneの製造と日本への輸出プロジェクトの詳細検討（【②】）実施に関する覚書を締結しました。
   OGAはサントス社と、2022年度からe-メタンに関する検討※2を行ってきましたが、本詳細検討では、技術や制度、商務に関する検討を4社共同で実施し、ムーンバにおいて【③】年以降に年間約【④】（都市ガス約1億8,000万m3分）以上のe-メタンを製造・日本に輸出することを目指します。なお、検討にあたっては、経済産業省の「令和6年度 資源国脱炭素化・エネルギー転換技術等支援事業費補助金」※3を活用します。","①豪州
②Pre-FEED
③2030
④13万トン",,,,,その他
,9,2024/8/22,大阪ガスマーケティング,パナソニックとのEVの更なる普及を見据えたエネルギーマネジメント実証について～EV充電器やエネファーム等の制御を通じて電力の需給安定化に貢献～,"大阪ガスマーケティングは、【①】と共同で、EV（電気自動車）充電器や家庭用燃料電池「エネファーム」等を制御対象としたエネルギーマネジメント実証を8月から開始します。
実証の流れ
   Step0 対象住戸のエネルギー需要および機器の稼働状況のデータを収集
   Step1 対象住戸のエネルギー需要に合わせて、住戸単位で個別最適制御を実施
   Step2 電力系統の需給安定化を目指し、対象住戸全体でDRを実施",①パナソニック,,,,,
,10,2024/8/26,その他,"オージス総研の社会貢献活動「はじまるくんパソコン寄贈プログラム」障がい者福祉施設等への累計寄贈台数が5,000台を突破","オージス総研は、2009年12月からリユースパソコンをベースとした社会貢献活動「【①】寄贈プログラム」を実施しています。活動開始から15年目を迎え、2024年8月26日に「①」の累計寄贈台数が【②】台を突破しましたので、お知らせします。
本プログラムは、企業や団体で業務使用を終えたパソコンを、福祉作業所でクリーニングやOS導入作業等の再生作業をしていただき、「①」として、障がい者福祉施設、児童養護施設等へ寄贈するもので、パソコンリユースによる環境貢献、障がいをお持ちの方の就労支援とIT支援をめざす活動です。","①はじまるくんパソコン寄贈プログラム
②5,000",,,,,
