,問題,解答,メモ
1,"国内エネルギー事業
①年：資本金35万円をもって設立
②年：ガスの供給開始
③年：第1次・第2次合併を実行
④年：中央研究所設置
","①1897
②1905
③1945
④1947
",
,"国内エネルギー事業Part2
①年：泉北工場操業開始
②年：天然ガス転換開始
③年：泉北製造所第二工場操業開始
④年：姫路製造所操業開始","①1971
②1975
③1977
④1984",
,"国内エネルギー事業Part3
①年：天然ガス転換終了
②年：泉北天然ガス発電所営業運転開始
③年：低圧電気供給事業に参入
④年:大阪ガスネットワーク㈱設立","①1990
②2009
③2016
④2021",
2,"海外エネルギー事業
①年：ブルネイからのLNG導入開始
②年：米国IPP（独立系発電事業者）事業に参画
③年：豪州ゴーゴンLNGプロジェクトの権益取得
④年：シンガポールでガス販売事業開始
⑤年：米国フリーポートLNGプロジェクト商業運転開始","①1972
②2004
③2009
④2013
⑤2019",
3,"LBS事業
①年：近畿コークス販売（現 大阪ガスケミカル）設立
②年：大阪ガス不動産（現 大阪ガス都市開発）設立
③年：オージー情報システム（現 オージス総研）設立
④年：アーバネックス（現 大阪ガス都市開発）設立
","①1949
②1965
③1983
④1989",
4,"LBS事業Part2
①年：大阪ガスケミカル設立
②年：オージス総研設立
③年：大阪ガス都市開発㈱設立","①1991
②1992
③2013",
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
