解答,問題,分類,資源・海外,重要度,,LNG購入の変遷,,取り扱い量ランキング,,埋蔵量,,,リスト,,,,,,,,,,,,
1897年,大阪ガス設立（資本金３５万円）,組織変革,,中,,1972年,ブルネイ,,,ロシア,38,,高,,,,,,,,,,,,
1905年,中ノ島本社竣工、岩崎工場竣工、ガスの供給開始,事業所,,,,1977年,インドネシア,,,イラン,32,,中,,,,,,,,,,,,
1924年,本社陳列場で定時料理講習会開始,商品・サービス,,,,1989年,オーストラリア,1,,カタール,24.7,,低,,,,,,,,,,,,
1933年,大阪ガスビルディング竣工（現在の南館),事業所,,,,1995年,マレーシア,,,トルクメニスタン,19.5,,,,,,,,,,,,,,
1945年,第一次・第二次合併実行,組織変革,,,,1998年,カタール,,,アメリカ,12.9,,,,,,,,,,,,,,
1949年,近畿コークス販売㈱（大阪ガスケミカル）設立,組織変革,,,,2000年,オマーン,2,,,,,,,,,,,,,,,,,
1955年,第1回ガス展を開催,商品・サービス,,,,2008年,ロシア,,,,,,,,,,,,,,,,,,
1958年,ロゴを採用og,商品・サービス,,,,2014年,パプアニューギニア,3,,世界,198.8兆m3,,,,,,,,,,,,,,
1960年,北港工場操業開始,事業所,,,,2020年,アメリカ,,,,,,,,,,,,,,,,,,
1963年,境工場操業開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
1965年,㈱大阪ガス不動産(大阪ガス都市開発）設立,組織変革,,,,,,,,,,,,,,,,,,,,,,,
1966年,大阪ガスビルディング竣工（現在の北館),事業所,,,,,,,,,,,,,,,,,,,,,,,
1970年,千里中央で日本発の地域冷暖房事業,商品・サービス,,,,,,,,,,,,,,,,,,,,,,,
1970年,大阪万博に日本ガス協会が出展,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1970年,天六爆発事故,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1971年,泉北第一工場,事業所,,,,,,,,,,,,,,,,,,,,,,,
1972年,ブルネイLNG導入開始,環境変化・転機,〇,,,,,,,,,,,,,,,,,,,,,,
1972年,燃料電池,商品・サービス,,,,,,,,,,,,,,,,,,,,,,,
1975年,天然ガス供給開始（転換開始）,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1977年,インドネシアLNG導入開始,環境変化・転機,〇,,,,,,,,,,,,,,,,,,,,,,
1977年,泉北第二工場,事業所,,,,,,,,,,,,,,,,,,,,,,,
1979年,冷熱発電プラント操業開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
1980年,京阪支社の指令室の緊急出動指令システム設置,事業所,,,,,,,,,,,,,,,,,,,,,,,
1983年,オージー情報システム(オージス総研),組織変革,,,,,,,,,,,,,,,,,,,,,,,
1984年,姫路製造所の運開,事業所,,,,,,,,,,,,,,,,,,,,,,,
1985年,大阪ガス福祉財団を設立,環境・CSR,,,,,,,,,,,,,,,,,,,,,,,
1987年,小型GHP,商品・サービス,,,,,,,,,,,,,,,,,,,,,,,
1987年,マイコンメータ設置開始,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1989年,(株)アーバネックス設立（現：大阪ガス都市開発(株)）,組織変革,,,,,,,,,,,,,,,,,,,,,,,
1990年,天然ガス転換完了,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1991年,大阪ガスケミカル(株)設立,組織変革,,,,,,,,,,,,,,,,,,,,,,,
1992年,大阪ガス交際交流財団設立,環境・CSR,,,,,,,,,,,,,,,,,,,,,,,
1992年,大阪ガス環境行動基準指針の発表,環境・CSR,,,,,,,,,,,,,,,,,,,,,,,
1993年,NEXT２１の竣工,商品・サービス,,,,,,,,,,,,,,,,,,,,,,,
1995年,阪神・淡路大震災(86万戸供給停止）,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1996年,原料費調整（スライド）料金制度スタート,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
1997年,一般家庭マイコンメータ設置完了,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
2000年,大阪グループ企業行動基準制定,環境・CSR,,,,,,,,,,,,,,,,,,,,,,,
2000年,エネット設立,組織変革,,,,,,,,,,,,,,,,,,,,,,,
2004年,北米IPP事業参画,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2004年,姫路発電運開開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
2006年,風力発電事業開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
2006年,CSR憲章制定,環境・CSR,,,,,,,,,,,,,,,,,,,,,,,
2009年,泉北天然ガス発電所営業運転開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
2009年,豪州ゴーゴンLNGプロジェクトの権益取得,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2009年,エネファーム販売開始,商品・サービス,,,,,,,,,,,,,,,,,,,,,,,
2012年,豪州イクシスLNGプロジェクトの権益取得,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2013年,大規模太陽光発電開始,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
2013年,シンガポールでガス販売事業開始,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2013年,Jacobi Carbons ABの株式を取得,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2014年,タイでエネルギーサービス事業を開始,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2014年,米国フリーポートLNGプロジェクトへの出資参画,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2014年,三重・滋賀、姫路・岡山ラインが開通,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
2015年,ハグミュージアム開館,事業所,,,,,,,,,,,,,,,,,,,,,,,
2016年,低圧電力供給事業開始,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
2017年,都市ガス小売り全面自由化,環境変化・転機,,,,,,,,,,,,,,,,,,,,,,,
2018年,Daigasグループ設立,組織変革,,,,,,,,,,,,,,,,,,,,,,,
2018年,(株)CDエナジーダイレクト設立,組織変革,,,,,,,,,,,,,,,,,,,,,,,
2018年,大阪ガスインドネシア設立,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2019年,ベトナムにおける天然ガス供給事業会社設立,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2019年,基盤会社設立（OGM・DGE・DaigasG＆P）,組織変革,,,,,,,,,,,,,,,,,,,,,,,
2019年,Sabine Oil & Gas Corporationを取得,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2019年,米国フリーポートLNGプロジェクト商業運転開始,海外事業,〇,,,,,,,,,,,,,,,,,,,,,,
2020年,エネファームタイプS発売,商品・サービス,,,,,,,,,,,,,,,,,,,,,,,
2020年,福島天然ガス発電所営業運転開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
2020年,扇島都市ガス供給株式会社 商業運転開始,事業所,,,,,,,,,,,,,,,,,,,,,,,
2022年,大阪ガスネットワークへ導管事業を吸収分割,組織変革,,,,,,,,,,,,,,,,,,,,,,,
2023年,Daigasグループエネルギートランジション2030策定,,,,,,,,,,,,,,,,,,,,,,,,
2024年,グループ中期経営計画2026「Connecting Ambitions Dreams」を策定,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
