判定,No.,掲載月日,会社,プレスタイトル,問題,解答,リンク,,,,
,1,2024/10/1,大阪ガス,ヘルステック分野における革新的なサービスの開発・提供を目指した連携につい,"「大阪ガス」と、医療技術とAI技術による問診エンジンとプラットフォームを用いた事業を手掛けるヘルステック分野のスタートアップ企業［①］は、ヘルステック分野における革新的なサービスの開発・提供を目指した連携を開始しました。
また、「Daigasエナジー」は、［①］の医療機関向け既存サービス［②］の紹介を、2024年10月より開始します。
①社は、日本の高い医療技術から生まれた問診エンジン＊１と、これをコア技術に据えたプラットフォームを独自に構築し、生活者や医療機関・製薬企業向けのサービスを提供しているスタートアップ企業です。","①Ubie株式会社（以下「Ubie社」）
②「ユビーメディカルナビ」",https://www.osakagas.co.jp/company/press/pr2024/1781074_56470.html,,,,
,2,2024/10/3,大阪ガス,"大阪ガス株式会社と三井住友信託銀行株式会社が取り組む
国内年金基金向けの再生可能エネルギーファンドの組成について"," 大阪ガスと①株式会社は、両社共同では初となる国内年金基金のみを対象とした［②］を組成したのでお知らせします。 本ファンドの投資対象は、FIT・FIP太陽光発電所を中心に、非FIT・非FIP太陽光発電所や太陽光発電併設型蓄電所などを予定しており、本ファンドは国内の再エネ電源を集約し、適切な運営管理を行って安定的な再エネ電気の供給に貢献します。





","①
三井住友信託銀行
②再生可能エネルギーファンド




",https://www.osakagas.co.jp/company/press/pr2024/1781236_56470.html,,,,
,3,2025/10/4,大阪ガス,生成AIを活用してカーボンクレジットの品質を評価するシステムの構築について,"大阪ガス株式会社は、生成AIを活用して［①］を、世界に先駆けて＊１構築しました。
①は、二酸化炭素（以下「CO2」）などの温室効果ガス（以下「GHG」）の削減・除去（吸収）量を、国家間や企業間で取引できるように認証されたものです。",①カーボンクレジットの品質を評価するシステム,https://www.osakagas.co.jp/company/press/pr2024/1781324_56470.html,,,,大阪ガス
,4,2025/10/15,大阪ガス,天然水素の探鉱・開発・生産を手掛ける米国スタートアップ企業との資本提携について,大阪ガス株式会社は、［①］の探鉱・開発・生産を手掛ける米国のスタートアップ企業②に出資しました。安価かつクリーンな水素として期待される①の生産や利活用について、同社との連携を進めてまいります。,"①天然水素の探鉱・開発・生産
②Koloma, Inc（以下「Koloma社」）",https://www.osakagas.co.jp/company/press/pr2024/1782203_56470.html,,,,Daigasエナジー
,5,2024/10/16,大阪ガス,宮崎県日向市における日向バイオマス発電所の商業運転開始について,"大阪ガスが、伊藤忠商事の子会社である①株式会社、②株式会社、株式会社③と共同で開発を進めてきた［④］が本日、商業運転を開始しました。
   本発電所の運転開始により、Daigasグループが参画する稼働済みバイオマス専焼発電所は合計［⑤］ヶ所となります。
本発電所は地域との共生を目指す発電所として、燃料の一部に地元産出の木質チップを使用し、大阪ガス子会社で国産材木質燃料を取り扱う［⑥］がその供給を担います。","①青山ソーラー
②東京センチュリー
③東京エネシス
④日向バイオマス発電所
⑤５
⑥株式会社グリーンパワーフュエル",https://www.osakagas.co.jp/company/press/pr2024/1782380_56470.html,,,,大阪ガスマーケティング
,6,2024/10/17,大阪ガス,大阪ガスとエネグローバルによるFIP太陽光発電所(14ヵ所)の開発について,"大阪ガスと①株式会社は、②県内に14ヵ所、合計容量約1万5,000kWの［③］を開発することを決定しました。
本発電所は「④」制度を活用するとともに、［⑤］を実現しており、本発電所で生み出された電気と環境価値は、大阪ガスがその全量を買い取った上で、Daigasエナジーを通じて、再生可能エネルギー電気を必要とされるお客さまに供給されます。","①エネグローバル
②茨城
③太陽光発電所
④FIP（Feed-in Premium）制度
⑤オフサイトコーポレートPPAモデル
：場所の離れた発電所から需要場所へ送配電系統を通じて電気を供給することを前提に、発電事業者・小売電気事業者・需要家が長期・固定価格で電気購入契約を結ぶ電気供給・調達方法のこと",https://www.osakagas.co.jp/company/press/pr2024/1782599_56470.html,,,,Daigasガスアンドパワーソリューション
,7,2024/10/18,大阪ガス,インドにおける都市ガス事業への鴻池運輸の参画について,"大阪ガスが推進する、インドでの都市ガス事業に、［①］が新しく参画します。本件により、インドにおける都市ガス事業をさらに促進することを目指します。
 大阪ガスはこれまでに2度の出資*1を通じて、I Squared Capital、AG＆Pグループ、住友商事株式会社（以下、「住友商事」）、株式会社海外交通・都市開発事業支援機構（以下、「JOIN」）と共同で、インドにおける都市ガス事業に参入、事業拡大に取り組んできました。その中で大阪ガスは、日本国内の都市ガス事業で培ったノウハウを生かして、現地に人員を派遣し、技術や営業の支援などにより、事業の拡大を推進しています。",①鴻池運輸株式会社（代表取締役会長兼社長執行役員：鴻池 忠彦）,https://www.osakagas.co.jp/company/press/pr2024/1782712_56470.html,,,,大阪ガスネットワーク
,8,2024/10/21,大阪ガス,EV蓄電池の劣化診断・寿命予測モデルの実証実験の開始について～EV市場の拡大・EVライフサイクルの長期化に向けて～,大阪ガスとＫＲＩは、2024年10月より、Daigasグループで利用する電気自動車（以下「EV社用車」）から取得するデータを用いて、EV蓄電池の［①］および[②]モデルの実証実験を開始します。,"①劣化診断
②寿命予測",https://www.osakagas.co.jp/company/press/pr2024/1782849_56470.html,,,,その他
,9,2024/10/24,大阪ガス,Google CloudのAI基盤技術と当社センシング技術を活用した製造業向け「成分推定AIシステム」の共同実証開始について,"大阪ガスと、グーグル・クラウド・ジャパン合同会社は、製造業における製品の品質向上や生産性向上などを目的に、当社センシング技術に、Google CloudのAI基盤技術を活用した、［①］の開発に向けた共同実証を開始しました。
この取り組みの第一弾として、2024年10月より、近赤外分光分析技術とGoogle CloudのAI基盤技術を組み合わせ、食材や樹脂内の水分量を高精度かつリアルタイムに推定する成分推定AIシステムの共同実証を開始しました。",①物質内の成分を推定するAIシステム,https://www.osakagas.co.jp/company/press/pr2024/1783738_56470.html,,,,
,10,2024/10/30,大阪ガス,2024年12月ガス料金の原料費調整について,"大阪ガス株式会社は、［①］に基づき、2024年12月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は6,499円（税込）になります。",①2024年7月～2024年9月の平均原料価格,https://www.osakagas.co.jp/company/press/pr2024/1784041_56470.html,,,,
,11,2024/10/31,大阪ガス,自己株式取得に係る事項の決定に関するお知らせについて,"当社は、2024年10月31日開催の取締役会において、会社法第165条第3項の規定により読み替えて適用される同法第156条の規定に基づき、自己株式を取得することを決議いたしましたのでお知らせいたします。
詳しくは、添付ファイルをご参照ください。",,https://www.osakagas.co.jp/company/press/pr2024/1784067_56470.html,,,,
,12,2024/10/31,大阪ガス,2025年3月期（第207期）第2四半期（中間期）決算について,"１：経営成績（2024年4月1日～2024年9月30日）
1)決算の概要
当中間期の売上高は、国内エネルギー事業でLNG販売量が減少したことや原料費調整制度に基づきガス販売単価が前年同期に比べて低めに推移したことなどにより、［①］となりました。経常利益は、国内エネルギー事業における原料価格などの変動が販売単価に反映されるまでのタイムラグによる増益影響が縮小したことなどにより、［②］となりました。親会社株主に帰属する中間純利益は、［③］となりました。
(2)セグメント別概況
「国内エネルギー」のセグメント利益は、原料価格などの変動が販売単価に反映されるまでのタイムラグによる増益影響の縮小などにより、［④］となりました。「海外エネルギー」のセグメント利益は、米国および豪州の上流事業などにおける円安の為替影響により、［⑤］となりました。「ライフ＆ビジネス ソリューション」のセグメント利益は、情報ソリューション事業での［⑥］があったものの、材料ソリューション事業などでの［⑦］により、［⑧］となりました。
(3)国内ガス販売実績
国内の連結ガス販売量[45MJ/m3]は前年同期を下回りました。家庭用のガス販売量は、高気水温の影響などにより、前年同期を下回りました。業務用等のガス販売量は、特定のお客さま先での設備稼働減などにより、前年同期を下回りました。
(4)国内電力販売実績
  国内の電力販売量は、小売と卸等がともに増加し、前年同期を上回りました。

2.当期 (2025年3月期) の業績予想
2024年5月8日に公表した業績予想から修正はありません。",①減収　②減益　③減益　④減益　⑤増益　⑥減益　⑦増益　⑧増益,https://www.osakagas.co.jp/company/press/pr2024/1784066_56470.html,,,,
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
