判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/11/29,大阪ガス,VPP事業を展開するShizen Connect社との資本業務提携について,大阪ガス株式会社は、［①］を開発、提供する株式会社②（以下「②社」）と資本業務提携に関する契約を締結し、本日、出資を行いました。既に協業を開始している系統用蓄電池分野※1に加え、家庭用分野におけるエネルギーマネジメントについても、②社との連携を進めます。,"①バーチャルパワープラント（以下「VPP」）プラットフォーム
②Shizen Connect",https://www.osakagas.co.jp/company/press/pr2024/1784731_56470.html,,,,
,2,2024/11/28,大阪ガス,2025年1月ガス料金の原料費調整について,"大阪ガス株式会社は、2024年8月～2024年10月の平均原料価格に基づき、2025年1月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は6,456円（税込）になります。",ー,https://www.osakagas.co.jp/company/press/pr2024/1784647_56470.html,,,,
,3,2024/11/28,Daigasエナジー,国連主導の「24/7 Carbon Free Energy Compact」に加盟～国際イニシアティブへの対応を求めるお客さまに全時間100％再エネを提供～,"大阪ガス株式会社は、全時間帯でのカーボンフリー電力供給の普及を目指す国際イニシアティブである「①」に加盟しました。現在＊1、165者が加盟しており、大阪ガスは日本企業として9者目の加盟となります。
①とは、2021年9月に国連が主導して発足したイニシアティブです。気候変動対策の加速を目指す世界中の企業や組織等が加盟し、電力の需要量とカーボンフリー電力の供給量をリアルタイム（1時間単位）に一致させることで、カーボンフリー電力の普及を促進します。","①24/7 Carbon Free Energy Compact（以下「24/7 CFE Compact」）
：2021年9月に国連が主導して発足したイニシアティブ。気候変動対策の加速を目指す世界中の企業や組織等が加盟し、電力の需要量とカーボンフリー電力の供給量をリアルタイム（1時間単位）に一致させることで、カーボンフリー電力の普及を促進する。",https://www.osakagas.co.jp/company/press/pr2024/1784619_56470.html,,,,大阪ガス
,4,2024/11/26,大阪ガス,愛知田原バイオマス発電所の商業運転開始について,"大阪ガス株式会社が株式会社①（以下「①」）、②株式会社（以下「②」）と共同で開発を進めてきた［③］（7.5万kW）が、本日、商業運転を開始しました。
   本発電所の運転開始により、Daigasグループが出資する稼働済みバイオマス専焼発電所は計［④］ヶ所となり、合計の発電容量は30万kWを超えました。","①エネウィル
②丸紅クリーンパワー
③愛知田原バイオマス発電所
④６",https://www.osakagas.co.jp/company/press/pr2024/1784586_56470.html,,,,Daigasエナジー
,5,2024/11/26,大阪ガス,次世代集光型太陽熱システムの開発を手掛ける豪州スタートアップ企業への出資について～世界の産業用熱需要の脱炭素化に貢献～,"大阪ガス株式会社は、このほど、①システムの開発を手掛ける豪州のスタートアップ企業②に出資しました。
   今後、本システムの商業化に向けた取り組みを共に推進し、産業用熱需要の脱炭素化への貢献を目指します。
集光型太陽熱システムは、太陽光エネルギーを集約して熱として蓄える熱媒体を用い、太陽光を効率よく熱エネルギーに変換して貯蔵・供給する次世代のクリーンエネルギー技術として開発が進められており、得られる蒸気は産業分野などで利用することが可能です。","①次世代集光型太陽熱（CST：concentrated solar thermal）
②FPR Energy Limited（以下「FPR Energy社」）
",https://www.osakagas.co.jp/company/press/pr2024/1784584_56470.html,,,,大阪ガスマーケティング
,6,2024/11/18,大阪ガス,カーボンクレジットの品質を評価する枠組みの構築に向けた業務提携について,"大阪ガス株式会社と、①株式会社（代表取締役社長：柿木 真澄、以下「①」）は、このたび、［②］の品質 を評価するシステムに関する業務提携のための覚書を締結しました。
本業務提携では、大阪ガスが世界に先駆けて構築した②品質初期評価AIシステムを活用し、カーボンクレジットを安心して活用できる枠組みの構築を目指します。","①丸紅
②カーボンクレジット",https://www.osakagas.co.jp/company/press/pr2024/1784441_56470.html,,,,Daigasガスアンドパワーソリューション
,7,2024/11/13,大阪ガス,大阪ガスとシルベラ社によるカーボンクレジットの品質評価に関する業務提携について～日本企業が取引・投資するカーボンクレジットの品質向上に向けて～,"大阪ガス株式会社と、カーボンクレジット格付会社の①）」は、このたび、②の品質評価に関する業務提携のための覚書を締結しました。
②社は、［③］のリーディングカンパニーであり、カーボンクレジット創出プロジェクトの品質評価・格付を行うことで、企業のカーボンクレジット購入や投資のサポートを行っています。
今後、①社は、大阪ガスが構築した本AIシステム（カーボンクレジット創出プロジェクトの計画書を生成AIで分析し、複数の基準との整合性を評価することで、カーボンクレジットの品質を短時間で簡易チェックするAIシステム）の対象範囲の拡大や精度向上に向けた開発のサポートを行います。","①Sylvera Ltd（CEO：Allister Furey、以下「シルベラ社」）
②カーボンクレジット
③炭素データプラットフォームおよびカーボンクレジット格付",https://www.osakagas.co.jp/company/press/pr2024/1784278_56470.html,,,,大阪ガスネットワーク
,8,2024/11/6,大阪ガスマーケティング,＜オーダーリノベーションサービス「MYRENO(マイリノ)」＞ZEH水準に対応したマイリノ住戸の第一号が完成～ZEHも学べるモデルルームを神戸市に開設～,"大阪ガス株式会社の子会社である大阪ガスマーケティング株式会社とグローバルベイス株式会社（代表取締役社長：茂木 敬一郎、以下「GB」）は、中古マンションの物件探しからリノベーションまで、お客さまのご要望に幅広くお応えするオーダーリノベーションサービス「①」を関西圏にて2022年7月から共同事業として開始しています。
このたびマイリノにおいて、［②］に対応したオーダーリノベーション住戸の第一号が完成しました。さらに11月9日より、兵庫県神戸市にZEHについても学べるモデルルームを新設します。ZEHの重要性およびサービスの訴求を図るとともに、神戸市周辺にお住まいのお客さまも気軽にお越しいただけるモデルルームを目指します。","①MYRENO（マイリノ）
②ZEH水準
  ZEH（net Zero Energy House）とは、快適な室内環境を保ちながら住宅の高断熱化と高効率設備により、できる限りの省エネルギーに努め太陽光発電等によりエネルギーを創ることで、1年間でのエネルギー収支をゼロ以下となる住宅のことを指します。",https://www.osakagas.co.jp/company/press/pr2024/1784152_56470.html,,,,その他
,9,2024/11/1,大阪ガス,クリーンガス証書第一号による2025年日本国際博覧会のカーボンニュートラル化への貢献　～鹿児島市南部清掃工場のバイオガスの環境価値を提供～,"日本ガス株式会社（代表取締役社長：津曲 貞利、以下「日本ガス」）と大阪ガス株式会社は、日本ガスが保有する［①］を大阪ガスが取得し、2025年日本国際博覧会（以下「大阪・関西万博」）のカーボンニュートラル化に活用することを合意しました。

   日本ガスは、鹿児島市南部清掃工場内で製造され、都市ガス原料として受け入れている精製バイオガス（バイオメタン）の環境価値を［②］しました。","①クリーンガス証書
②クリーンガス証書化",https://www.osakagas.co.jp/company/press/pr2024/1784083_56470.html,,,,
,10,,,,,,,,,,
