判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2025/2/3,大阪ガス,2025年3月期（第207期）第3四半期 決算について,第３四半期の売上高は国内エネルギー事業で、電力販売量が増加したものの、LNG販売量が減少したことや原料費調整制度に基づきガス販売単価が前年同期に比べて低めに推移したことなどにより[①増収/減収]となった。経常利益は国内エネルギー事業における原料価格などの変動が販売単価に反映されるまでのタイムラグ（*）による増益影響が縮小したことなどにより[②増益/減益]となった。親会社株主に帰属する四半期純利益は[③増益/減益]となった。,"①減収　△4.4%
②減益　△28.1%
③減益　△28.1%",プレス,総じて利益出せていない。好調なのは、海外エネルギーと、電力販売。,,,
,2,2025/2/6,Daigasエナジー,国内初！熱交換器内蔵排熱回収型バーナにおいてアンモニア混焼率0～100％での安定燃焼に成功,Daigasエナジーは、株式会社[①]と共同で日本で初めて[②]型バーナー※１において、都市ガスとアンモニアの混焼率0~100％※２での安定燃焼に成功した。これまでDaigasエナジーでは約[③]種類のガスバーナーを自社開発してきた。,"①正英製作所
②熱交換器内蔵排熱回収
③1600",プレス,"※１ バーナ本体に熱交換器を搭載しており、燃焼排ガスの熱と燃焼空気を熱交換することで高効率な　燃焼を実現するバーナ
 ※２  都市ガスとアンモニアの合計熱量の内、アンモニアの熱量割合（混焼率0％＝都市ガス100％）。都市ガス専焼、アンモニア専焼のいずれにおいても安定燃焼に成功",,,
,3,2025/2/7,大阪ガス,自己株式の取得状況に関するお知らせについて,2025年1月1日～1月31日までに取得した自己株式の株式総数は、[①]株、取得価格の総額は[②]円であった。,"①1,740,900
②5,495,997,399",プレス,こんな細かい数字でんやろ,,,大阪ガス
,4,2025/2/18,大阪ガス,e-methaneのクリーンガス証書移転・管理を可能とするデジタルプラットフォーム「CO2NNEX(R)」の大阪・関西万博での導入に向けた運用開始について,大阪ガスと[①]株式会社は、二酸化炭素（以下、CO2）の流通を可視化し、e-methane（以下、e-メタン）の環境価値*1を証書化する[②]証書の移転や管理を行う都市ガス業界初のプラットフォーム[③]を2025年日本国際博覧会（以下、大阪・関西万博）での導入*2に向け、運用開始した。,"①三菱重工業
②クリーンガス
③CO2NNEX（コネックス）",プレス,2024年4月1日より、クリーンガス証書の民間運用が開始されており、今後万博実証をはじめとし取引量はさらに増加すると見込まれるため、クリーンガス証書の移転や管理を行うシステムが必要となる,,,Daigasエナジー
,5,2025/2/19,大阪ガス,アラブ首長国連邦（UAE）アブダビ首長国ADNOC社との、液化天然ガス（LNG）売買契約の締結について,大阪ガスは、UAEアブダビ首長国の国営石油会社[①]と、[②]プロジェクトにおいて生産されるLNGの売買契約を締結した。[②]プロジェクトは、アブダビの[②]工業都市に新設されるLNG基地（最大生産能力約[③]トン/年）で生産したLNGを、日本を含む諸外国に供給する予定です。本契約の契約期間は2020年代後半から[④]年間で、最大約[⑤]万トン/年のLNGを受け入れ,"①ADNOC
②ルワイス
③960万
④15
⑤80万",プレス,"当社がアブダビから長期でLNGを調達するのは今回が初めて。
（参考）アラブ首長国連邦（UAE）は、アブダビ、ドバイ、シャルジャ、ラス・アル・ハイマ、フジャイラ、アジュマン、ウンム・アル・カイワインの7つの首長国により構成される連邦国家",,,大阪ガスマーケティング
,6,2025/2/27,大阪ガス,2025年4月ガス料金の原料費調整について,大阪ガスは政府による[①]事業を踏まえ、2025年4月検針分の一般料金に適用する単位料金を示した。これにより4月の標準家庭の料金は[②]円になる。内、政府支援を踏まえた値引き額は[③]円,"①電気・ガス料金負担軽減支援
②6,438
（③-152）",プレス,,,,Daigasガスアンドパワーソリューション
,7,2025/2/27,大阪ガス,Daigasグループ　エネルギートランジション2050の策定について,Daigasグループは、2050年のカーボンニュートラル実現に向けたエネルギートランジションのロードマップをより明確にすると共に、皆さまと[①]価値＊1を共創していくためのソリューションをまとめた「Daigasグループ エネルギートランジション2050」を策定しました。,①ミライ,プレス,※１　ミライ価値＝「低・脱炭素社会実現」「Newノーマルに対応した暮らしとビジネスの実現」「お客さまと社会のレジリエンス向上」など、Daigasグループが社会の課題解決に向けて皆さまと創り出していく新たな価値,,,大阪ガスネットワーク
,8,2025/2/28,Daigasエナジー,遠隔AIエネルギーマネジメントシステムを活用し産業用冷凍機を完全停止せずに自動デマンドレスポンス制御する実証に成功～「自動デマンドレスポンス付自然冷媒冷凍機エネルギーサービス」として提案開始～,Daigasエナジーは、株式会社[①]と共同で[①]の高効率自然冷媒冷凍機[②]と、Daigasグループの遠隔AIエネルギーマネジメントシステム[③]を連携させ、冷凍冷蔵倉庫において冷凍機を完全停止することなく、自動で[④]制御する実証に成功した,"①前川製作所
②NewTon
③Energy Brain
④デマンドレスポンス（DR）",プレス,Daigas グループでは、これまで容量市場※1におけるアグリゲーターとしてお客さま に電力負荷設備や自家発電設備をコントロールいただき、電力需要の抑制によりお客さま に報酬をお受け取りいただけるDR サービス「D-Response」や、「Energy Brain」を用い て自動DR や遠隔自動エネマネ等の価値を付加した各種サービスを提供してきました。,,,その他
,9,2025/2/28,大阪ガス,タイ国におけるバイオマスコージェネを用いた信越化学工業グループへの再生可能エネルギー供給の事業化決定について,"[①]株式会社と大阪ガスが共同出資する、[②]は、信越化学のグループ会社でタイでシリコーン製品の製造を行う、SEST、ASM、SENTの3社に対する[③]システムにより再エネ事業化を行う。本事業は、[②]が[③]システム（発電量平均5.0MW、蒸気供給量平均40t/h）をSEST敷地内に設置し、タイ国内で産出された木質チップを燃料として製造した再生可能エネルギー（電力・蒸気）を、SEST・ASM・SENTの3社に供給するもの。
本事業は、環境省の令和6年度 「[④]事業のうち設備補助事業」※4に採択され、エネルギーの地産地消を行う。","①日鉄エンジニアリング
②NSET（NS-OG Energy Solutions (Thailand) Ltd.）
③バイオマスコージェネレーション
④二国間クレジット制度（Joint Crediting Mechanism: JCM）資金支援",プレス,※4  優れた脱炭素技術などを活用し、途上国などにおける温室効果ガス排出量を削減する事業を実施し、測定・報告・検証（MRV）を行う事業。途上国などにおける温室効果ガスの削減とともに、JCMを通じて我が国及びパートナー国の温室効果ガスの排出削減目標の達成に資することを目的としています。優れた脱炭素技術などに対する初期投資費用の2分の1を上限として補助を行っています。なお、本事業はタイ国政府と日本政府の協力の下で実施されています。,,,
,10,,,,,,,,,,
