判定,No.,カテゴリ,掲載日,タイトル,問題,解答
,1,なかま,2024/4/2,インドネシア大学の大学院生に日本語研修を実施しました,「①」は、国際親善、相互理解のさらなる深化を目指し、次年度もインドネシア大学大学院日本語研修を実施する予定です。,①大阪ガス国際交流財団
,2,経営,2024/4/2,「なでしこ銘柄」に選定！～女性活躍推進に優れた企業として～,大阪ガスが、令和５年度「①」に選定されました。今回で７度目の選定となり、電気・ガス業種では最多企業となります。,①なでしこ銘柄
,3,しごと,2024/4/3,【2年連続選定！】「健康経営銘柄2024]～いきいきと働くことができる職場づくりを～,大阪ガスは、経済産業省と東京証券取引所が共同で実施する「①」に２年連続で選定されました。,①健康経営銘柄2024
,4,経営,2024/4/4,【8社で設立！】e-メタンの国際アライアンス「e-NG Coalition」,エネルギー分野で事業を進める8社が「e-メタン」の世界的な普及拡大を目指す国際的アライアンス「①」の設立に合意しました,①e-NG Coalition（イーエヌジーコーリション）
,5,なかま,2024/4/4,【喜びの声ご紹介！】2023年度コミュニティギフト制度で社会・地域づくりを応援しています,いきいきと活動できる社会や地域づくりに自主的に貢献しているDaigasグループ従業員および従業員のご家族を支援することを目的に、申請者を通じて、所属する団体に対し、物品購入等の資金を援助する制度,コミュニティギフト制度
,6,なかま,2024/4/5,【合唱部】4年ぶり！大ホールで熱唱♪「関西混声合唱フェスティバル」に出演,3月10日（日）豊中市立文化芸術センター大ホールで開催されました、『①』に出演いたしました。,①第14回 関西混声合唱フェスティバル
,7,なかま,2024/4/5,【疑似体験会開催！】4/16～19「御堂筋ふれあいバザー×ダイバーシティ＆インクルージョン」をテーマに,Daigasグループ“①”運動ならびに大阪ガスネットワーク（株）が主催する「②」を4/16（火）～19（金）に開催します。,①小さな灯　②御堂筋ふれあいバザー
,8,なかま,2024/4/8,【vol.3 新人編】動画で知ろう！2024年硬式野球部メンバー,ー,ー
,9,リフレッシュ,2024/4/10,合計88人が参加！「Daigasよもやま」体験型２企画報告！,Daigasグループ社員が“ナナメ”につながる「①」,①Daigasよもやま
,10,なかま,2024/4/12,【応援部】今年も開催！「チアリーダー体験会」参加者募集,大阪ガスに応援部による「チアリーダー体験会」を募集します！,ー
,11,しごと,2024/4/12,「hu＋g MUSEUM（ハグミュージアム）」が3月にリニューアルオープン！,食と住まいのショールーム「①」が2024年3月にリニューアルオープンしました！,①hu＋g MUSEUM（ハグミュージアム）
,12,しごと,2024/4/12,【サンドブラスト発生に備えて】堺市上下水道局さまと協定書を締結！,大阪ガスネットワークと堺市上下水道局さまは、①による被害拡大防止と、水道およびガス供給の早期復旧のため、協定を結びました。,①サンドブラスト現象
,13,なかま,2024/4/15,インクルーシブな社会を考えよう！日本初の車椅子専用コートで障がい者スポーツを体験,「①」では、インクルーシブな社会を考える事を目的に、障がいのあるなしにかかわらず楽しめる車椅子スポーツの体験会を行いました。,①わたしプロジェクト会議
