判定,No.,優先度,カテゴリ,掲載日,タイトル,問題,解答,URL,コメント
,44,中,,2024/5/16,くるぞ、万博。Daigasグループの取り組みに迫る！,"１、バイオガスを活用した「①」
２、「②」の活用で環境価値の見える化
３、ガスパビリオンの膜材料に「③」を採用","①メタネーション実証
②CO2NNEX for e-methane
③SPACECOOL",,
,35,中,大阪・関西万博、広報部,2024/7/18,いくで！万博　ガスパビリオンの現在地 vol.01,大阪ガスが開発したガスパビリオンの全面を覆う「①」とは、世界最高レベルの冷却性能を持つ新素材のこと。直射日光下でもエネルギーを使わずに外気温よりも温度を下げることができる放射冷却素材。,①SPACECOOL,,
,34,中,大阪・関西万博、広報部,2024/8/29,いくで！万博 　Daigasグループの取り組みの“イマ”がわかる！,大阪・関西万博は、大阪「①」で開催し、「②」か国・地域が参加する。テーマは「③」,"①夢洲
②161
③いのち輝く未来社会のデザイン",,
,31,中,サステナビリティ、人事部,2024/9/3,＼まもなく開幕！／ 「ヘルシー7オリンピック’24」で健康になろう！ ～従業員の輝き向上～,Daigasグループでは、「中期経営計画2026」の重点戦略である“従業員の輝き向上”の取り組みのひとつとしても「①」を掲げており、3年ぶりに健康イベント「②」を行った。ヘルシー７オリンピックの項目は、体重・食事・運動・飲酒・禁煙・睡眠・ストレスに口腔衛生を追加した8項目。,"①健康経営の推進
②ヘルシー７オリンピック",URL,
,30,中,DaigasX,2024/9/26,事例動画を見てあなたもチャレンジ！Daigas X加速に向け次のアクションへ,2024年度は「①」「②」「③」の3つの方向性をもとに、各組織や個人がアクションを実践。,"①業務時間の質を高める
②自立性・主体性を高め連携を深める
③柔軟な働き方を実現する",URL,特集記事のまとめのため、問題作成なし
,29,中,大阪・関西万博、広報部,2024/10/31,＼開幕半年前／ 完成間近！ガスパビリオンの現在地 vol.02,ガスパビリオンのコンセプトは、「①」,①化けろ、未来！,URL,でるか？
,28,中,ー,2024/12/4,「人権週間」にあたって,毎年「①●月●日」「人権デー」を最終日とする１週間を「人権週間」と定めている。Daigasグループでは、「ビジネスと人権に関する指導原則」に則り、2021年4月に「Daigasグループ人権方針」において「グループ全体で人権尊重の責任を果たす」ことを宣言した。2024年度Daigasグループ人権啓発スローガンは、「②」,"①12月10日
②　グループ全体で人権尊重の責任を果たす～気づきで仕事を見直そう～",URL,でるか？
,25,高,,2024/12/25,Daigasグループが力を入れる話題の“人的資本”ってなぁに？～大阪ガス初の人的資本レポートを発行??～,大阪ガスは、2018年度から2024年度まで7年連続で「①」に認定されるなど、外部からも高く評価されている。「②」とは、「従業員など企業の一員としての個人が持つ資質や能力を、企業の付加価値を生み出す資本と捉える」考え方のことで、日本においても、2023年3月期以降の有価証券報告書から「②」情報の開示が義務化された。,"①健康経営優良法人　大規模法人部門　ホワイト500
②人的資本",URL,
,24,高,,2024/12/27,最近アツい!? “Daigasグループ”株価の話,Daigas グループの株価は2024年9月3日には「①」円/株と、ここ20年で最高を更新。中期経営計画2026では、将来の持続的な成長を目指しながら「②」還元も強化する方針や、資本効率向上のために、「③」な経営を推進する方針が評価されている。,"①3,624
②株主
③アセットライト",URL,3つのマインドは別でやると思うので、削除
,23,高,,2025/1/17,阪神・淡路大震災から30年?Daigasグループの進化する「レジリエンス力」?,"「①●年●月●日」午前5時46分、淡路島北部を震源とするマグニチュード7.3の地震が発生した。計約86万戸の都市ガス供給を停止。のべ72万人の体制で、約3カ月で無事故復旧作業完遂。
Daigasグループは、阪神・淡路大震災の経験を活かし、「②」「③」「④」を三本柱とし、地震対策を前に進め続けてきた。","①1995年1月17日
②予防対策
③緊急対策
④復旧対策",URL,どんくらい出るもんやろか、でも大切そう。
