No,ページ数,問題,解答,備考,,特集価値創造の実践
,31,"中期経営計画2026では、社会課題解決に貢献する重点戦略として「３つの約束」に取り組みます
①②③","①従業員の輝き向上
②ミライ価値の共創
③経営基盤の進化",,,
,32,2024年3月には、e-メタンの世界的な普及拡大をさらに促進するため、エネルギー分野で事業を進める7社とともに世界初となるe-メタンの国際的アライアンス「①」の設立の合意を発表しました。,①e-NG Coalition,,,
,34,家庭用エネファームの販売台数は2024年4月時点で累計①台を達成し、年間約②トンのCO?削減に貢献,"①20万
②37万",,,
,34,米国のシェールガス開発会社①社においては、新規のシェールガス井開発などによる生産量の拡大を目指す,①サビン,,,
,34,従来重油が使用されている船舶線量の低炭素化に向け、大阪湾・瀬戸内エリアにおいて①方式による船舶向けLNG燃料供給事業を2026年度から開始予定。,①Ship to Ship,岸壁に係留中もしくは、錯地に停泊中のLNG燃料船に対して、バンカリング線が接舷してLNGを供給する方式,,
,35,e-メタン国際業界団体e-NG Coalitionの設立企業のうち大阪ガス以外の7社は①②③④⑤⑥⑦,"①TES社（ベルギー）
②東京ガス（日本）
③東邦ガス（日本）
④三菱商事（日本）
⑤エンジー社（フランス）
⑥センプラ・インフラストラクチャー社（アメリカ）
⑦トタルエナジーズ社（フランス）",,,
,36,"メタネーション技術開発における取組は以下の３つ
１．既存技術「①メタネーション」の社会実装に向けた取組
INPEXと共同で世界最大級のメタネーションによる試験設備プラントの建設を始める
２．「②メタネーション」の社会実装
関西万博の会場内で実証
３．革新技術「③メタネーション」の技術開発","①サバティエ
②バイオ
③SOEC",,,
,37,①年運開開始を目指す、姫路天然ガス発電所の規模は約②kWの予定,"①2026
②120万",,,
,37,2026年度に国内外で再エネ普及貢献量①kWを目指す,①400万,,,
,37,"大阪ガスは2023年7月に当社を含む日本企業10社とともに、①グループの森林ファンド「②」への共同出資を表明
本ファンドは2027年までに北米を中心に約③haの森林の購入・管理を数字て、CO?吸収を新たに生み出し、質の高いカーボンクレジットの創出・還元でCN社会の実現に貢献する","①住友林業
②Eastwood Climate Smart Forestry Fund
③13万",,,
,42,女性活躍推進に優れた企業として、令和5年度「①」に選定された,,,,
,42,健康経営に取り組み、「Daigasグループ①宣言」に加えて、健全な生活習慣を促す「行動指針②」を定め、これらの取り組みを評価いただき、2年連続となる「③2024」,"①健康経営
②ヘルシー７
③健康経営銘柄",,,
,46,"「①企業グループ」を目指すDaigasグループのDX戦略は、
１．①の創造
２．②の変革
３．③の強化","①新サービス
②業務プロセス
③DX推進体制",,,
